	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M2	M3	M4	M5	M6	M7	M8	M9
M1	0.0	1.028616710662193	1.0161021119619182	1.0010517001374963	0.9607022493320311	0.5051633412902128	0.7492133198079519	0.8631993140478931	0.7933108940803513	0.5611111321678286	0.12020846598096009	1.5925026783650469	1.3726163186068474	1.3394611013672804	1.6049723525293458	1.6749867739752717	0.927941439511516	1.0612487631949183
M10	1.028616710662193	0.0	0.03076482379152546	0.06905224051781239	0.5248458787834843	0.7008950398352359	0.688768283495652	0.5834555133295573	0.6612648960315981	0.7120001915214091	0.9653386431152714	1.8926656061040126	1.592262459287911	1.5096947074645206	1.7082642830739718	1.5853250121944509	0.2823271611627121	0.07631884934933796
M11	1.0161021119619182	0.03076482379152546	0.0	0.038329101395346316	0.5007812831519584	0.6832461292049999	0.6704816160249412	0.5619603600773849	0.642211113674323	0.6944949611473945	0.952175654030132	1.905359349603049	1.606988724660545	1.524863138362885	1.7225366810063425	1.6006404167933412	0.2529779536435408	0.10697352568584369
M12	1.0010517001374963	0.06905224051781239	0.038329101395346316	0.0	0.4707881174578711	0.6617382000739811	0.6481715684661425	0.5354344209602475	0.6189056813753631	0.6731712699632253	0.9363193365484525	1.9209857551807934	1.625062615121758	1.5434692790304518	1.7401012525843775	1.619467696123839	0.21612704580601147	0.14502300491886316
M13	0.9607022493320311	0.5248458787834843	0.5007812831519584	0.4707881174578711	0.0	0.5734029594444741	0.4099044769416433	0.2550471425341141	0.36202237838387735	0.5097911392420601	0.8683551356710603	2.081151047512408	1.8079611818134065	1.7313165302352467	1.9201992326672783	1.8117083564742649	0.2977456670877069	0.5846093419229674
M14	0.5051633412902128	0.7008950398352359	0.6832461292049999	0.6617382000739811	0.5734029594444741	0.0	0.7056110591616971	0.603260044656509	0.6787288775401606	0.04973741474326882	0.40161910731377176	1.7682153208955196	1.4700682701213081	1.3902757650155477	1.5408720239898241	1.5773244595035427	0.5515324985778347	0.7460413774654355
M15	0.7492133198079519	0.688768283495652	0.6704816160249412	0.6481715684661425	0.4099044769416433	0.7056110591616971	0.0	0.20874723349012456	0.06540726727631455	0.6540118397180291	0.6402965290727027	1.8943653327345042	1.683213137915238	1.6585809338976603	1.9294707566804519	1.8533789207365863	0.5332763826844675	0.7354756253403982
M16	0.8631993140478931	0.5834555133295573	0.5619603600773849	0.5354344209602475	0.2550471425341141	0.603260044656509	0.20874723349012456	0.0	0.14608012598578776	0.5696407048221083	0.7626313037421444	1.998172607422597	1.7224176935494309	1.6437462320311298	1.8983663217707443	1.822328257959915	0.39096992715719914	0.6375193444026342
M17	0.7933108940803513	0.6612648960315981	0.642211113674323	0.6189056813753631	0.36202237838387735	0.6787288775401606	0.06540726727631455	0.14608012598578776	0.0	0.6250132645687655	0.6872266099752019	1.932101542715048	1.670448723903614	1.6462314068137909	1.9210385354356796	1.845123142919209	0.49745289310802365	0.7097616431098639
M18	0.5611111321678286	0.7120001915214091	0.6944949611473945	0.6731712699632253	0.5097911392420601	0.04973741474326882	0.6540118397180291	0.5696407048221083	0.6250132645687655	0.0	0.44817161565745145	1.8101852266746412	1.5145102293037664	1.4352695390388541	1.5762683056199158	1.5804877976488119	0.56408716503305	0.756807592018954
M2	0.12020846598096009	0.9653386431152714	0.952175654030132	0.9363193365484525	0.8683551356710603	0.40161910731377176	0.6402965290727027	0.7626313037421444	0.6872266099752019	0.44817161565745145	0.0	1.6014553617375296	1.3835634172427524	1.3512699458762218	1.5711507503899875	1.6418551735890883	0.8588135169161817	0.9995770660722209
M3	1.5925026783650469	1.8926656061040126	1.905359349603049	1.9209857551807934	2.081151047512408	1.7682153208955196	1.8943653327345042	1.998172607422597	1.932101542715048	1.8101852266746412	1.6014553617375296	0.0	0.4041677688052102	0.513421430602931	0.4731252456811832	0.7005033402980657	2.002838421261304	1.860806857468265
M4	1.3726163186068474	1.592262459287911	1.606988724660545	1.625062615121758	1.8079611818134065	1.4700682701213081	1.683213137915238	1.7224176935494309	1.670448723903614	1.5145102293037664	1.3835634172427524	0.4041677688052102	0.0	0.1550858481739291	0.5433994932948069	0.5879503472548855	1.71895517440713	1.555102809522702
M5	1.3394611013672804	1.5096947074645206	1.524863138362885	1.5434692790304518	1.7313165302352467	1.3902757650155477	1.6585809338976603	1.6437462320311298	1.6462314068137909	1.4352695390388541	1.3512699458762218	0.513421430602931	0.1550858481739291	0.0	0.6392146092641754	0.6842489052182026	1.6399794815051594	1.471381002110376
M6	1.6049723525293458	1.7082642830739718	1.7225366810063425	1.7401012525843775	1.9201992326672783	1.5408720239898241	1.9294707566804519	1.8983663217707443	1.9210385354356796	1.5762683056199158	1.5711507503899875	0.4731252456811832	0.5433994932948069	0.6392146092641754	0.0	0.25511422905249936	1.8320822301413473	1.6724190555767564
M7	1.6749867739752717	1.5853250121944509	1.6006404167933412	1.619467696123839	1.8117083564742649	1.5773244595035427	1.8533789207365863	1.822328257959915	1.845123142919209	1.5804877976488119	1.6418551735890883	0.7005033402980657	0.5879503472548855	0.6842489052182026	0.25511422905249936	0.0	1.7177796789225455	1.546781925243966
M8	0.927941439511516	0.2823271611627121	0.2529779536435408	0.21612704580601147	0.2977456670877069	0.5515324985778347	0.5332763826844675	0.39096992715719914	0.49745289310802365	0.56408716503305	0.8588135169161817	2.002838421261304	1.71895517440713	1.6399794815051594	1.8320822301413473	1.7177796789225455	0.0	0.35435136887518326
M9	1.0612487631949183	0.07631884934933796	0.10697352568584369	0.14502300491886316	0.5846093419229674	0.7460413774654355	0.7354756253403982	0.6375193444026342	0.7097616431098639	0.756807592018954	0.9995770660722209	1.860806857468265	1.555102809522702	1.471381002110376	1.6724190555767564	1.546781925243966	0.35435136887518326	0.0
